book,vagga,story_thai
1,ยมกวคฺควณฺณนา.,พระจักขุปาลเถระ
1,ยมกวคฺควณฺณนา.,มัฏฐกุณฑลี
1,ยมกวคฺควณฺณนา.,พระติสสเถระ
1,ยมกวคฺควณฺณนา.,นางกาลียักษิณี
1,ยมกวคฺควณฺณนา.,ภิกษุชาวเมืองโกสัมพี
1,ยมกวคฺควณฺณนา.,จุลกาลและมหากาล
1,ยมกวคฺควณฺณนา.,พระเทวทัต
1,ยมกวคฺควณฺณนา.,สัญชัยปริพาชก
1,ยมกวคฺควณฺณนา.,พระนันทเถระ
1,ยมกวคฺควณฺณนา.,นายจุนทสูกริก
1,ยมกวคฺควณฺณนา.,ธัมมิกอุบาสก
1,ยมกวคฺควณฺณนา.,พระเทวทัต ๒
1,ยมกวคฺควณฺณนา.,นางสุมนาเทวี
1,ยมกวคฺควณฺณนา.,ภิกษุ ๒ สหาย
2,อปฺปมาทวคฺควณฺณนา.,พระนางสามาวดี
2,อปฺปมาทวคฺควณฺณนา.,เศรษฐีชื่อว่ากุมภโฆสกะ
2,อปฺปมาทวคฺควณฺณนา.,พระจูฬปันถกเถระ
2,อปฺปมาทวคฺควณฺณนา.,นักษัตรของคนพาล
2,อปฺปมาทวคฺควณฺณนา.,พระมหากัสสปะ
2,อปฺปมาทวคฺควณฺณนา.,ภิกษุผู้เป็นสหายกัน ๒ รูป
2,อปฺปมาทวคฺควณฺณนา.,ท้าวสักกะ
2,อปฺปมาทวคฺควณฺณนา.,ภิกษุรูปใดรูปหนึ่ง
2,อปฺปมาทวคฺควณฺณนา.,พระติสสะเถระผู้อยู่ในนิคม
2,จิตฺตวคฺควณฺณนา.,พระเมฆิยะเถระ
2,จิตฺตวคฺควณฺณนา.,ภิกษุรูปใดรูปหนึ่ง ๒
2,จิตฺตวคฺควณฺณนา.,ภิกษุผู้กระสันขึ้นแล้ว
2,จิตฺตวคฺควณฺณนา.,พระสังฆรักขิตเถระผู้เป็นหลาน
2,จิตฺตวคฺควณฺณนา.,พระจิตหัตถเถระ
2,จิตฺตวคฺควณฺณนา.,ภิกษุผู้มีวิปัสสนาอันปรารถแล้ว
2,จิตฺตวคฺควณฺณนา.,พระติสสเถระผู้มีตัวอันเน่า
2,จิตฺตวคฺควณฺณนา.,ผู้เลี้ยงโคชื่อว่านันทะ
2,จิตฺตวคฺควณฺณนา.,พระโสไรยเถระ
3,ปุปฺผวคฺควณฺณนา.,ภิกษุ ๕๐๐​ รูป ผู้ขวนขวายแล้วในปฐวีกถา
3,ปุปฺผวคฺควณฺณนา.,พระเถระผู้เจริญมรีจิกัมมัฏฐาน
3,ปุปฺผวคฺควณฺณนา.,พระเจ้าวิฑูฑภะ
3,ปุปฺผวคฺควณฺณนา.,หญิงชื่อว่าปติปูชิกา
3,ปุปฺผวคฺควณฺณนา.,เศรษฐีชื่อว่าโกสิยะผู้มีความตระหนี่
3,ปุปฺผวคฺควณฺณนา.,อาชีวกชื่อว่าปาฏิกะ
3,ปุปฺผวคฺควณฺณนา.,อุบาสกชื่อว่าฉัตตปาณิ
3,ปุปฺผวคฺควณฺณนา.,นางวิสาขา
3,ปุปฺผวคฺควณฺณนา.,ปัญหาของพระอานนท์
3,ปุปฺผวคฺควณฺณนา.,การถวายบิณฑบาตแก่พระมหากัสสปเถระ
3,ปุปฺผวคฺควณฺณนา.,การปรินิพพานแห่งพระโคธิกะ
3,ปุปฺผวคฺควณฺณนา.,การปรินิพพานแห่งพระโคธิกะ, นิครนถ์ชื่อว่าครหทิน
3,ปุปฺผวคฺควณฺณนา.,นิครนถ์ชื่อว่าครหทิน
3,พาลวคฺควณฺณนา.,บุรุษคนใดคนหนึ่ง
3,พาลวคฺควณฺณนา.,สัทธิวิหาริกของพระมหากัสสปเถระ
3,พาลวคฺควณฺณนา.,เศรษฐีชื่อว่าอานนท์
3,พาลวคฺควณฺณนา.,โจรผู้ทำลายซึ่งปม
3,พาลวคฺควณฺณนา.,พระอุทายีเถระ
3,พาลวคฺควณฺณนา.,ภิกษุในเมืองปาฐา
3,พาลวคฺควณฺณนา.,สุปปพุทธะบุรุษผู้เป็นโรคเรื้อน
3,พาลวคฺควณฺณนา.,ชาวนา
3,พาลวคฺควณฺณนา.,นายมาลาการชื่อว่าสุมนะ
3,พาลวคฺควณฺณนา.,พระอุบลวรรณาเถรี
3,พาลวคฺควณฺณนา.,อาชีวกชื่อว่าชัมพุกะ
3,พาลวคฺควณฺณนา.,เปรตมีอัตภาพแห่งงู
3,พาลวคฺควณฺณนา.,เปรตมีศีรษะอันค้อน ๖๐ ทำลายแล้ว
3,พาลวคฺควณฺณนา.,พระสุธรรมเถระ
3,พาลวคฺควณฺณนา.,พระวนวาสีติสสะเถระ
4,ปณฺฑิตวคฺควณฺณนา.,พระราธเถระ
4,ปณฺฑิตวคฺควณฺณนา.,ภิกษุอัสสชิและปุนัพพสุกะ
4,ปณฺฑิตวคฺควณฺณนา.,พระฉันนเถระ
4,ปณฺฑิตวคฺควณฺณนา.,พระมหากัปปินเถระ
4,ปณฺฑิตวคฺควณฺณนา.,บัณฑิตตสามเณร
4,ปณฺฑิตวคฺควณฺณนา.,พระลกุณฏกภัททิยะเถระ
4,ปณฺฑิตวคฺควณฺณนา.,มารดาของนางกาณา
4,ปณฺฑิตวคฺควณฺณนา.,ภิกษุ ๕๐๐ รูป
4,ปณฺฑิตวคฺควณฺณนา.,พระเถระผู้ตั้งอยู่ในธรรม
4,ปณฺฑิตวคฺควณฺณนา.,การฟังธรรม
4,ปณฺฑิตวคฺควณฺณนา.,ภิกษุอาคันตุกะ
4,อรหนฺตวคฺควณฺณนา.,หมอชีวก
4,อรหนฺตวคฺควณฺณนา.,พระมหากัสสปเถระ
4,อรหนฺตวคฺควณฺณนา.,พระเพฬัฏฐสีสเถระ
4,อรหนฺตวคฺควณฺณนา.,พระอนุรุทธเถระ
4,อรหนฺตวคฺควณฺณนา.,พระมหากัจจายนะเถระ
4,อรหนฺตวคฺควณฺณนา.,พระสารีบุตรเถระ
4,อรหนฺตวคฺควณฺณนา.,พระติสสเถระชาวกรุงโกสัมพี
4,อรหนฺตวคฺควณฺณนา.,พระสารีบุตรเถระ ๒
4,อรหนฺตวคฺควณฺณนา.,พระขทิรวนิยเรวตเถระ
4,อรหนฺตวคฺควณฺณนา.,หญิงคนใดคนหนึ่ง
