Report of potential splits in content-dhamma02.js

[Group: d02_v02_s01_samavati | Index 1] Ends without ฯ or .: "๑. สามาวตีวตฺถุ ฯ (๑๕)"
[Group: d02_v02_s01_samavati | Index 3] Ends without ฯ or .: "ตตฺรายํ อนุปุพฺพีกถา:"
[Group: d02_v02_s01_samavati | Index 5] Ends without ฯ or .: "เต กาเลน กาลํ สมาคนฺตฺวา เอกโต ติฏฺฐนฺตา นิสีทนฺตา นิปชฺชนฺตา มหาชนํ ชายมานญฺจ มียมานญฺจ ทิสฺวา “ปรโลกํ คจฺฉนฺตํ อนุคจฺฉนฺโต นาม นตฺถิ, อนฺตมโส อตฺตโน สรีรํปิ; สพฺพํ ปหาย คนฺตพฺพํ, กินฺโน ฆราวาเสน, ปพฺพชิสฺสามาติ มนฺเตตฺวา รชฺชานิ ปุตฺตทารสฺส นิยฺยาเทตฺวา อิสิปพฺพชฺชํ ปพฺพชิตฺวา หิมวนฺตปฺปเทเส วสนฺตา มนฺตยึสุ"
[Group: d02_v02_s01_samavati | Index 36] Ends without ฯ or .: "เต กิร สกุณา ปญฺจนฺนํ หตฺถีนํ พลํ ธาเรนฺติ; ตสฺมา อากาเสน เนตฺวา ยถารุจิตฏฺฐาเน นิสีทิตฺวา มํสํ ขาทนฺติ;"
[Group: d02_v02_s01_samavati | Index 146] Ends without ฯ or .: "ตเมนํ ปจฺเจกพุทฺโธ อาห “อาวุโส"
[Group: d02_v02_s01_samavati | Index 236] Ends without ฯ or .: "“กินฺติ นํ มาเรยฺยนฺติ จินฺเตนฺโต “มม คามสเต อายุตฺตกสฺส สนฺติกํ เปเสตฺวา มาราเปสฺสามีติ อุปายํ ทิสฺวา"
[Group: d02_v02_s01_samavati | Index 237] Ends without ฯ or .: "“อยํ เม อวชาตปุตฺโต, อิมํ มาเรตฺวา วจฺจกูเป ขิปตุ, เอวํ กเต, อหํ มาตุลสฺส กตฺตพฺพยุตฺตกํ ปจฺฉา ชานิสฺสามีติ ตสฺส ปณฺณํ ลิขิตฺวา"
[Group: d02_v02_s01_samavati | Index 297] Ends without ฯ or .: "อถ นํ สา “ปิตา เต ทุพฺพโล, เอตฺตกํ ปณฺณาการํ คเหตฺวา คจฺฉนฺตานํ ปปญฺโจ ภวิสฺสติ, เอตํ นิวตฺเตหีติ วตฺวา ตํ สพฺพํ อตฺตโน กุลเคหํ เปเสตฺวา ปุน อาห “สามิ ตฺวํ อตฺตโน ปิตุ ปาทปสฺเส ติฏฺเฐยฺยาสิ, อหํ อุสฺสีสกปสฺเส ฐสฺสามีติ,"
[Group: d02_v02_s01_samavati | Index 304] Ends without ฯ or .: "อถ นํ ทิสฺวา อายุตฺตกํ ปกฺโกสาเปตฺวา “มม เคเห กิตฺตกํ ธนนฺติ ปุจฺฉิตฺวา, “สามิ ธนสฺเสว จตฺตาฬีส โกฏิโย, อุปโภคปริโภคภณฺฑานํ ปน คามกฺเขตฺตทฺวิปทจตุปฺปทยานวาหนานญฺจ อยญฺจ อยญฺจ ปริจฺเฉโทติ วุตฺเต,"
[Group: d02_v02_s01_samavati | Index 351] Ends without ฯ or .: "ตตฺร เสฏฺฐี ภริยํ อาห “ภทฺเท อิมินา นีหาเรน อาคจฺฉนฺตา วิชาตมาตุยาปิ อมนาปา โหนฺติ; สหาโย กิร เม อทฺธิกกปณาทีนํ"
[Group: d02_v02_s01_samavati | Index 352] Ends without ฯ or .: "เทวสิกํ สหสฺสํ วิสฺสชฺเชตฺวา ทานํ ทาเปสิ; ตตฺถ ธีตรํ เปเสตฺวา อาหารํ อาหราเปตฺวา เอกาหํ ทฺวีหํ อิเธว สรีรํ สนฺตปฺเปตฺวา สหายกํ ปสฺสิสฺสามาติ"
[Group: d02_v02_s01_samavati | Index 416] Ends without ฯ or .: "โส เอกทิวสํ อุยฺยานโต อาคจฺฉนฺโต อตฺตโน สมฺปตฺตึ โอโลเกตฺวา “อตฺถิ นุ โข อญฺญสฺสปิ กสฺสจิ เอวรูปา สมฺปตฺตีติ วตฺวา,"
[Group: d02_v02_s01_samavati | Index 493] Ends without ฯ or .: "อถสฺส ปตฺตํ โอโลเกนฺโต ตุจฺฉํ ปตฺตํ ทิสฺวา เคเห ภตฺตสฺส อตฺตโน นิฏฺฐิตานิฏฺฐิตภาวํ อชานนตาย สูโร หุตฺวา ปตฺตํ คเหตุํ อวิสหนฺโต “ภนฺเต โถกํ อธิวาเสถาติ วตฺวา เวเคน ฆรํ คนฺตฺวา “อมฺหากํ ภตฺตํ นิฏฺฐิตนฺติ ปุจฺฉิตฺวา,"
[Group: d02_v02_s01_samavati | Index 497] Ends without ฯ or .: "โส ตํ คเหตฺวา ชเวน คนฺตฺวา ปจฺเจกพุทฺธสฺส ปตฺตํ ทตฺวา ปญฺจปติฏฺฐิเตน วนฺทิตฺวา “ภนฺเต เวลา อุปกฏฺฐา, อหํ อติสีเฆน ชเวน คโต จ อาคโต จ,"
[Group: d02_v02_s01_samavati | Index 498] Ends without ฯ or .: "เอตสฺส เม ชวสฺส ผเลน โยชนานํ ปณฺณาสสฏฺฐีสตวีสติสตคมนสมตฺถานิ ปญฺจ วาหนานิ นิพฺพตฺตนฺตุ; อาคจฺฉนฺตสฺส จ เม คจฺฉนฺตสฺส จ สรีรํ สุริยเตเชน ตตฺตํ, ตสฺส เม ผเลน นิพฺพตฺตนิพฺพตฺตฏฺฐาเน อาณา สุริยเตชสทิสา โหตุ;"
[Group: d02_v02_s01_samavati | Index 527] Ends without ฯ or .: "พุทฺธานํ หิ ปทเจติยํ อธิฏฺฐหิตฺวา อกฺกนฺตฏฺฐาเนเยว ปญฺญายติ, น อญฺญตฺถ:"
[Group: d02_v02_s01_samavati | Index 528] Ends without ฯ or .: "เยสญฺจ อตฺถาย อธิฏฺฐิตํ โหติ, เตว นํ ปสฺสนฺติ;"
[Group: d02_v02_s01_samavati | Index 536] Ends without ฯ or .: "สตฺถา “ธีตรา เต มยฺหํ อตฺโถ อตฺถิ วา นตฺถิ วาติ อวตฺวาว “พฺราหฺมณ เอกนฺเต การณํ กเถมีติ วตฺวา,"
